# civil-holidays-translations v1
# source: translation
# retrieved: 2026-07-22
# note:
#   DISPLAY translations, NOT official names. Every row here is a rendering we
#   authored for convenience - a way to *show* a holiday in another language -
#   and is deliberately kept distinct from the official native names that live
#   in the per-jurisdiction .tab files. The golden rule still holds: a holiday's
#   real name is what its own government calls it (that is the primary `name`
#   and any co-official `names`); these are only helpful glosses. The join key
#   is the holiday's PRIMARY name (its official native name) exactly as spelled
#   in the jurisdiction's .tab file. A language is omitted for a holiday when
#   that language is already its official name (carried in the .tab `names`).
# columns: jurisdiction | name | lang | text
#
# ===== PT =====
PT | Ano Novo | en | New Year's Day
IN | Ram Navami | de | Rama Navami
IN | Ram Navami | fr | Rama Navami
IN | Mahavir Jayanti | pt | Mahavir Jayanti
IN | Mahavir Jayanti | es | Mahavir Jayanti
IN | Mahavir Jayanti | de | Mahavir Jayanti
IN | Mahavir Jayanti | fr | Mahavir Jayanti
IN | Buddha Purnima | pt | Buda Purnima
IN | Buddha Purnima | es | Buda Purnima
IN | Buddha Purnima | de | Buddha Purnima
IN | Buddha Purnima | fr | Bouddha Purnima
IN | Janmashtami | pt | Janmashtami
IN | Janmashtami | es | Janmashtami
IN | Janmashtami | de | Janmashtami
IN | Janmashtami | fr | Janmashtami
IN | Dussehra | pt | Dussehra
IN | Dussehra | es | Dussehra
IN | Dussehra | de | Dussehra
IN | Dussehra | fr | Dussehra
IN | Diwali (Deepavali) | pt | Diwali (Deepavali)
IN | Diwali (Deepavali) | es | Diwali (Deepavali)
IN | Diwali (Deepavali) | de | Diwali (Deepavali)
IN | Diwali (Deepavali) | fr | Diwali (Deepavali)
IN | Guru Nanak's Jayanti | pt | Jayanti de Guru Nanak
IN | Guru Nanak's Jayanti | es | Jayanti de Gurú Nanak
IN | Guru Nanak's Jayanti | de | Guru Nanaks Jayanti
IN | Guru Nanak's Jayanti | fr | Jayanti de Guru Nanak
IN | Maha Shivaratri | pt | Maha Shivaratri
IN | Maha Shivaratri | es | Maha Shivaratri
IN | Maha Shivaratri | de | Maha Shivaratri
IN | Maha Shivaratri | fr | Maha Shivaratri
# ===== CN =====
CN | 元旦 | pt | Ano Novo
CN | 元旦 | es | Año Nuevo
CN | 元旦 | de | Neujahr
CN | 元旦 | fr | Jour de l'an
CN | 劳动节 | pt | Dia do Trabalho
CN | 劳动节 | es | Día del Trabajo
CN | 劳动节 | de | Tag der Arbeit
CN | 劳动节 | fr | Fête du Travail
CN | 国庆节 | pt | Dia Nacional
CN | 国庆节 | es | Día Nacional
CN | 国庆节 | de | Nationalfeiertag
CN | 国庆节 | fr | Fête nationale
CN | 国庆节假期 | pt | Feriado do Dia Nacional
CN | 国庆节假期 | es | Festivo del Día Nacional
CN | 国庆节假期 | de | Nationalfeiertag (Ferientag)
CN | 国庆节假期 | fr | Congé de la Fête nationale
CN | 春节 | pt | Ano Novo Chinês
CN | 春节 | es | Año Nuevo Chino
CN | 春节 | de | Chinesisches Neujahr
CN | 春节 | fr | Nouvel An chinois
CN | 春节假期 | pt | Feriado do Ano Novo Chinês
CN | 春节假期 | es | Festivo del Año Nuevo Chino
CN | 春节假期 | de | Chinesisches Neujahr (Ferientag)
CN | 春节假期 | fr | Congé du Nouvel An chinois
CN | 端午节 | pt | Festival do Barco-Dragão
CN | 端午节 | es | Fiesta del Bote del Dragón
CN | 端午节 | de | Drachenbootfest
CN | 端午节 | fr | Fête des bateaux-dragons
CN | 中秋节 | pt | Festival do Meio-Outono
CN | 中秋节 | es | Fiesta del Medio Otoño
CN | 中秋节 | de | Mondfest
CN | 中秋节 | fr | Fête de la mi-automne
CN | 清明节 | pt | Festival de Qingming
CN | 清明节 | es | Fiesta de Qingming
CN | 清明节 | de | Qingming-Fest
CN | 清明节 | fr | Fête de Qingming
# --- vacanza/holidays 0.101 category-parity "half_day" rows (retrieved 2026-07-22) ---
CN | 国际妇女节 | en | International Women's Day
CN | 国际妇女节 | pt | Dia Internacional da Mulher
CN | 国际妇女节 | es | Día Internacional de la Mujer
CN | 国际妇女节 | de | Internationaler Frauentag
CN | 国际妇女节 | fr | Journée internationale des femmes
CN | 五四青年节 | en | Youth Day
CN | 五四青年节 | pt | Dia da Juventude
CN | 五四青年节 | es | Día de la Juventud
CN | 五四青年节 | de | Jugendtag
CN | 五四青年节 | fr | Journée de la jeunesse
CN | 六一儿童节 | en | Children's Day
CN | 六一儿童节 | pt | Dia da Criança
CN | 六一儿童节 | es | Día del Niño
CN | 六一儿童节 | de | Kindertag
CN | 六一儿童节 | fr | Journée des enfants
CN | 建军节 | en | Army Day
CN | 建军节 | pt | Dia do Exército
CN | 建军节 | es | Día del Ejército
CN | 建军节 | de | Tag der Armee
CN | 建军节 | fr | Journée de l'armée
# ===== JP =====
JP | 元日 | pt | Ano Novo
JP | 元日 | es | Año Nuevo
JP | 元日 | de | Neujahr
JP | 元日 | fr | Jour de l'an
JP | 建国記念の日 | pt | Dia da Fundação Nacional
JP | 建国記念の日 | es | Día de la Fundación Nacional
JP | 建国記念の日 | de | Tag der Reichsgründung
JP | 建国記念の日 | fr | Jour de la fondation nationale
JP | 天皇誕生日 | pt | Aniversário do Imperador
JP | 天皇誕生日 | es | Cumpleaños del Emperador
JP | 天皇誕生日 | de | Geburtstag des Kaisers
JP | 天皇誕生日 | fr | Anniversaire de l'Empereur
JP | 昭和の日 | pt | Dia de Showa
JP | 昭和の日 | es | Día de Showa
JP | 昭和の日 | de | Showa-Tag
JP | 昭和の日 | fr | Jour de Showa
JP | 憲法記念日 | pt | Dia da Constituição
JP | 憲法記念日 | es | Día de la Constitución
JP | 憲法記念日 | de | Tag der Verfassung
JP | 憲法記念日 | fr | Jour de la Constitution
JP | みどりの日 | pt | Dia do Verde
JP | みどりの日 | es | Día del Verdor
JP | みどりの日 | de | Tag des Grüns
JP | みどりの日 | fr | Jour de la verdure
JP | こどもの日 | pt | Dia das Crianças
JP | こどもの日 | es | Día del Niño
JP | こどもの日 | de | Kindertag
JP | こどもの日 | fr | Jour des enfants
JP | 山の日 | pt | Dia da Montanha
JP | 山の日 | es | Día de la Montaña
JP | 山の日 | de | Tag des Berges
JP | 山の日 | fr | Jour de la montagne
JP | 文化の日 | pt | Dia da Cultura
JP | 文化の日 | es | Día de la Cultura
JP | 文化の日 | de | Tag der Kultur
JP | 文化の日 | fr | Jour de la culture
JP | 勤労感謝の日 | pt | Dia de Ação de Graças pelo Trabalho
JP | 勤労感謝の日 | es | Día de Acción de Gracias por el Trabajo
JP | 勤労感謝の日 | de | Tag des Dankes für die Arbeit
JP | 勤労感謝の日 | fr | Jour d'action de grâce du travail
JP | 成人の日 | pt | Dia da Maioridade
JP | 成人の日 | es | Día de la Mayoría de Edad
JP | 成人の日 | de | Tag der Volljährigkeit
JP | 成人の日 | fr | Jour de la majorité
JP | 海の日 | pt | Dia do Mar
JP | 海の日 | es | Día del Mar
JP | 海の日 | de | Tag des Meeres
JP | 海の日 | fr | Jour de la mer
JP | 敬老の日 | pt | Dia do Respeito aos Idosos
JP | 敬老の日 | es | Día del Respeto a los Ancianos
JP | 敬老の日 | de | Tag der Achtung vor dem Alter
JP | 敬老の日 | fr | Jour du respect pour les personnes âgées
JP | スポーツの日 | pt | Dia do Desporto
JP | スポーツの日 | es | Día del Deporte
JP | スポーツの日 | de | Tag des Sports
JP | スポーツの日 | fr | Jour du sport
JP | 春分の日 | pt | Dia do Equinócio de Primavera
JP | 春分の日 | es | Día del Equinoccio de Primavera
JP | 春分の日 | de | Tag der Frühlings-Tagundnachtgleiche
JP | 春分の日 | fr | Jour de l'équinoxe de printemps
JP | 秋分の日 | pt | Dia do Equinócio de Outono
JP | 秋分の日 | es | Día del Equinoccio de Otoño
JP | 秋分の日 | de | Tag der Herbst-Tagundnachtgleiche
JP | 秋分の日 | fr | Jour de l'équinoxe d'automne
# --- vacanza/holidays 0.101 category-parity "bank" row (retrieved 2026-07-22) ---
JP | 銀行休業日 | en | Bank Holiday
JP | 銀行休業日 | pt | Feriado Bancário
JP | 銀行休業日 | es | Día Festivo Bancario
JP | 銀行休業日 | de | Bankfeiertag
JP | 銀行休業日 | fr | Jour férié bancaire
# ===== IL =====
IL | חול המועד סוכות | pt | Chol HaMoed Sucot
IL | חול המועד סוכות | es | Jol HaMoed Sucot
IL | חול המועד סוכות | de | Chol haMoed Sukkot
IL | חול המועד סוכות | fr | Chol HaMoed Souccot
IL | סיגד | pt | Sigd
IL | סיגד | es | Sigd
IL | סיגד | de | Sigd
IL | סיגד | fr | Sigd
IL | פורים | pt | Purim
IL | פורים | es | Purim
IL | פורים | de | Purim
IL | פורים | fr | Pourim
IL | חול המועד פסח | pt | Chol HaMoed Pessach
IL | חול המועד פסח | es | Jol HaMoed Pésaj
IL | חול המועד פסח | de | Chol haMoed Pessach
IL | חול המועד פסח | fr | Chol HaMoed Pessa'h
IL | יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה (נצפה) | pt | Yom HaZikaron (observado)
IL | יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה (נצפה) | es | Yom HaZikaron (observado)
IL | יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה (נצפה) | de | Yom haSikaron (Ersatztermin)
IL | יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה (נצפה) | fr | Yom HaZikaron (observé)
IL | יום ירושלים | pt | Dia de Jerusalém
IL | יום ירושלים | es | Día de Jerusalén
IL | יום ירושלים | de | Jerusalem-Tag
IL | יום ירושלים | fr | Jour de Jérusalem
IL | תשעה באב | pt | Tishá BeAv
IL | תשעה באב | es | Tisha BeAv
IL | תשעה באב | de | Tischa beAv
IL | תשעה באב | fr | Tisha Be'Av
IL | חנוכה | pt | Hanukah
IL | חנוכה | es | Janucá
IL | חנוכה | de | Chanukka
IL | חנוכה | fr | Hanouka
IL | תענית אסתר (נצפה) | pt | Jejum de Ester (observado)
IL | תענית אסתר (נצפה) | es | Ayuno de Ester (observado)
IL | תענית אסתר (נצפה) | de | Estherfasten (Ersatztermin)
IL | תענית אסתר (נצפה) | fr | Jeûne d'Esther (observé)
IL | ל"ג בעומר | pt | Lag BaOmer
IL | ל"ג בעומר | es | Lag BaOmer
IL | ל"ג בעומר | de | Lag baOmer
IL | ל"ג בעומר | fr | Lag Baomer
IL | תענית אסתר | pt | Jejum de Ester
IL | תענית אסתר | es | Ayuno de Ester
IL | תענית אסתר | de | Estherfasten
IL | תענית אסתר | fr | Jeûne d'Esther
IL | ראש השנה | pt | Rosh Hashanah
IL | ראש השנה | es | Rosh Hashaná
IL | ראש השנה | de | Rosch ha-Schana
IL | ראש השנה | fr | Roch Hachana
IL | יום כיפור | pt | Yom Kipur
IL | יום כיפור | es | Yom Kipur
IL | יום כיפור | de | Jom Kippur
IL | יום כיפור | fr | Yom Kippour
IL | סוכות | pt | Sucot
IL | סוכות | es | Sucot
IL | סוכות | de | Sukkot
IL | סוכות | fr | Souccot
IL | שמיני עצרת / שמחת תורה | pt | Shemini Atzeret / Simchat Torá
IL | שמיני עצרת / שמחת תורה | es | Sheminí Atzéret / Simjá Torá
IL | שמיני עצרת / שמחת תורה | de | Schmini Azeret / Simchat Tora
IL | שמיני עצרת / שמחת תורה | fr | Chemini Atseret / Sim'hat Torah
IL | פסח | pt | Pessach
IL | פסח | es | Pésaj
IL | פסח | de | Pessach
IL | פסח | fr | Pessa'h
IL | שביעי של פסח | pt | Sétimo dia de Pessach
IL | שביעי של פסח | es | Séptimo día de Pésaj
IL | שביעי של פסח | de | Siebter Tag von Pessach
IL | שביעי של פסח | fr | Septième jour de Pessa'h
IL | שבועות | pt | Shavuot
IL | שבועות | es | Shavuot
IL | שבועות | de | Schawuot
IL | שבועות | fr | Chavouot
IL | יום העצמאות | pt | Dia da Independência de Israel
IL | יום העצמאות | es | Día de la Independencia de Israel
IL | יום העצמאות | de | Israelischer Unabhängigkeitstag
IL | יום העצמאות | fr | Jour de l'indépendance d'Israël
# ===== SA =====
SA | يوم التأسيس | pt | Dia da Fundação
SA | يوم التأسيس | es | Día de la Fundación
SA | يوم التأسيس | de | Gründungstag
SA | يوم التأسيس | fr | Jour de la fondation
SA | اليوم الوطني | pt | Dia Nacional
SA | اليوم الوطني | es | Día Nacional
SA | اليوم الوطني | de | Nationalfeiertag
SA | اليوم الوطني | fr | Fête nationale
SA | عيد الفطر | pt | Eid al-Fitr
SA | عيد الفطر | es | Eid al-Fitr
SA | عيد الفطر | de | Eid al-Fitr
SA | عيد الفطر | fr | Aïd el-Fitr
SA | عطلة عيد الفطر | pt | Feriado do Eid al-Fitr
SA | عطلة عيد الفطر | es | Festivo del Eid al-Fitr
SA | عطلة عيد الفطر | de | Eid al-Fitr (Ferientag)
SA | عطلة عيد الفطر | fr | Congé de l'Aïd el-Fitr
SA | يوم عرفة | pt | Dia de Arafah
SA | يوم عرفة | es | Día de Arafat
SA | يوم عرفة | de | Arafat-Tag
SA | يوم عرفة | fr | Jour d'Arafat
SA | عيد الأضحى | pt | Eid al-Adha
SA | عيد الأضحى | es | Eid al-Adha
SA | عيد الأضحى | de | Eid al-Adha
SA | عيد الأضحى | fr | Aïd el-Adha
SA | عطلة عيد الأضحى | pt | Feriado do Eid al-Adha
SA | عطلة عيد الأضحى | es | Festivo del Eid al-Adha
SA | عطلة عيد الأضحى | de | Eid al-Adha (Ferientag)
SA | عطلة عيد الأضحى | fr | Congé de l'Aïd el-Adha
# ===== TR =====
TR | Yılbaşı | en | New Year's Day
TR | Yılbaşı | pt | Ano Novo
TR | Yılbaşı | es | Año Nuevo
TR | Yılbaşı | de | Neujahr
TR | Yılbaşı | fr | Jour de l'an
TR | Ulusal Egemenlik ve Çocuk Bayramı | en | National Sovereignty and Children's Day
TR | Ulusal Egemenlik ve Çocuk Bayramı | pt | Dia da Soberania Nacional e da Criança
TR | Ulusal Egemenlik ve Çocuk Bayramı | es | Día de la Soberanía Nacional y del Niño
TR | Ulusal Egemenlik ve Çocuk Bayramı | de | Tag der nationalen Souveränität und des Kindes
TR | Ulusal Egemenlik ve Çocuk Bayramı | fr | Fête de la souveraineté nationale et de l'enfance
TR | Emek ve Dayanışma Günü | en | Labour and Solidarity Day
TR | Emek ve Dayanışma Günü | pt | Dia do Trabalho e da Solidariedade
TR | Emek ve Dayanışma Günü | es | Día del Trabajo y la Solidaridad
TR | Emek ve Dayanışma Günü | de | Tag der Arbeit und Solidarität
TR | Emek ve Dayanışma Günü | fr | Fête du travail et de la solidarité
TR | Atatürk'ü Anma, Gençlik ve Spor Bayramı | en | Commemoration of Atatürk, Youth and Sports Day
TR | Atatürk'ü Anma, Gençlik ve Spor Bayramı | pt | Dia da Comemoração de Atatürk, da Juventude e do Desporto
TR | Atatürk'ü Anma, Gençlik ve Spor Bayramı | es | Día de la Conmemoración de Atatürk, la Juventud y el Deporte
TR | Atatürk'ü Anma, Gençlik ve Spor Bayramı | de | Gedenktag an Atatürk, Jugend und Sport
TR | Atatürk'ü Anma, Gençlik ve Spor Bayramı | fr | Commémoration d'Atatürk, fête de la jeunesse et du sport
TR | Demokrasi ve Millî Birlik Günü | en | Democracy and National Unity Day
TR | Demokrasi ve Millî Birlik Günü | pt | Dia da Democracia e da Unidade Nacional
TR | Demokrasi ve Millî Birlik Günü | es | Día de la Democracia y la Unidad Nacional
TR | Demokrasi ve Millî Birlik Günü | de | Tag der Demokratie und nationalen Einheit
TR | Demokrasi ve Millî Birlik Günü | fr | Jour de la démocratie et de l'unité nationale
TR | Zafer Bayramı | en | Victory Day
TR | Zafer Bayramı | pt | Dia da Vitória
TR | Zafer Bayramı | es | Día de la Victoria
TR | Zafer Bayramı | de | Tag des Sieges
TR | Zafer Bayramı | fr | Fête de la Victoire
TR | Cumhuriyet Bayramı | en | Republic Day
TR | Cumhuriyet Bayramı | pt | Dia da República
TR | Cumhuriyet Bayramı | es | Día de la República
TR | Cumhuriyet Bayramı | de | Tag der Republik
TR | Cumhuriyet Bayramı | fr | Fête de la République
TR | Ramazan Bayramı | en | Eid al-Fitr
TR | Ramazan Bayramı | pt | Eid al-Fitr
TR | Ramazan Bayramı | es | Eid al-Fitr
TR | Ramazan Bayramı | de | Eid al-Fitr
TR | Ramazan Bayramı | fr | Aïd el-Fitr
TR | Kurban Bayramı | en | Eid al-Adha
TR | Kurban Bayramı | pt | Eid al-Adha
TR | Kurban Bayramı | es | Eid al-Adha
TR | Kurban Bayramı | de | Eid al-Adha
TR | Kurban Bayramı | fr | Aïd el-Adha
# ===== DE =====
DE | Neujahr | en | New Year's Day
DE | Neujahr | pt | Ano Novo
DE | Neujahr | es | Año Nuevo
DE | Neujahr | fr | Jour de l'an
DE | Karfreitag | en | Good Friday
DE | Karfreitag | pt | Sexta-feira Santa
DE | Karfreitag | es | Viernes Santo
DE | Karfreitag | fr | Vendredi saint
DE | Ostermontag | en | Easter Monday
DE | Ostermontag | pt | Segunda-feira de Páscoa
DE | Ostermontag | es | Lunes de Pascua
DE | Ostermontag | fr | Lundi de Pâques
DE | Erster Mai | en | Labour Day
DE | Erster Mai | pt | Dia do Trabalhador
DE | Erster Mai | es | Día del Trabajo
DE | Erster Mai | fr | Fête du Travail
DE | Christi Himmelfahrt | en | Ascension Day
DE | Christi Himmelfahrt | pt | Ascensão
DE | Christi Himmelfahrt | es | Ascensión
DE | Christi Himmelfahrt | fr | Ascension
DE | Pfingstmontag | en | Whit Monday
DE | Pfingstmontag | pt | Segunda-feira de Pentecostes
DE | Pfingstmontag | es | Lunes de Pentecostés
DE | Pfingstmontag | fr | Lundi de Pentecôte
DE | Tag der Deutschen Einheit | en | German Unity Day
DE | Tag der Deutschen Einheit | pt | Dia da Unidade Alemã
DE | Tag der Deutschen Einheit | es | Día de la Unidad Alemana
DE | Tag der Deutschen Einheit | fr | Jour de l'Unité allemande
DE | Erster Weihnachtstag | en | Christmas Day
DE | Erster Weihnachtstag | pt | Dia de Natal
DE | Erster Weihnachtstag | es | Navidad
DE | Erster Weihnachtstag | fr | Noël
DE | Zweiter Weihnachtstag | en | Boxing Day
DE | Zweiter Weihnachtstag | pt | Segundo Dia de Natal
DE | Zweiter Weihnachtstag | es | San Esteban
DE | Zweiter Weihnachtstag | fr | Lendemain de Noël
DE | Heilige Drei Könige | en | Epiphany
DE | Heilige Drei Könige | pt | Dia de Reis
DE | Heilige Drei Könige | es | Epifanía
DE | Heilige Drei Könige | fr | Épiphanie
DE | Internationaler Frauentag | en | International Women's Day
DE | Internationaler Frauentag | pt | Dia Internacional da Mulher
DE | Internationaler Frauentag | es | Día Internacional de la Mujer
DE | Internationaler Frauentag | fr | Journée internationale des femmes
DE | Ostersonntag | en | Easter Sunday
DE | Ostersonntag | pt | Domingo de Páscoa
DE | Ostersonntag | es | Domingo de Resurrección
DE | Ostersonntag | fr | Pâques
DE | Pfingstsonntag | en | Whit Sunday
DE | Pfingstsonntag | pt | Domingo de Pentecostes
DE | Pfingstsonntag | es | Domingo de Pentecostés
DE | Pfingstsonntag | fr | Pentecôte
DE | Fronleichnam | en | Corpus Christi
DE | Fronleichnam | pt | Corpo de Deus
DE | Fronleichnam | es | Corpus Christi
DE | Fronleichnam | fr | Fête-Dieu
DE | Mariä Himmelfahrt | en | Assumption of Mary
DE | Mariä Himmelfahrt | pt | Assunção de Nossa Senhora
DE | Mariä Himmelfahrt | es | Asunción de la Virgen
DE | Mariä Himmelfahrt | fr | Assomption
DE | Weltkindertag | en | World Children's Day
DE | Weltkindertag | pt | Dia Mundial da Criança
DE | Weltkindertag | es | Día Mundial del Niño
DE | Weltkindertag | fr | Journée mondiale de l'enfance
DE | Reformationstag | en | Reformation Day
DE | Reformationstag | pt | Dia da Reforma
DE | Reformationstag | es | Día de la Reforma
DE | Reformationstag | fr | Jour de la Réforme
DE | Allerheiligen | en | All Saints' Day
DE | Allerheiligen | pt | Dia de Todos os Santos
DE | Allerheiligen | es | Todos los Santos
DE | Allerheiligen | fr | Toussaint
DE | Buß- und Bettag | en | Day of Repentance and Prayer
DE | Buß- und Bettag | pt | Dia de Penitência e Oração
DE | Buß- und Bettag | es | Día de Penitencia y Oración
DE | Buß- und Bettag | fr | Jour de pénitence et de prière
# ===== FR =====
FR | Jour de l'an | en | New Year's Day
FR | Jour de l'an | pt | Ano Novo
FR | Jour de l'an | es | Año Nuevo
FR | Jour de l'an | de | Neujahr
FR | Lundi de Pâques | en | Easter Monday
FR | Lundi de Pâques | pt | Segunda-feira de Páscoa
FR | Lundi de Pâques | es | Lunes de Pascua
FR | Lundi de Pâques | de | Ostermontag
FR | Fête du Travail | en | Labour Day
FR | Fête du Travail | pt | Dia do Trabalhador
FR | Fête du Travail | es | Día del Trabajo
FR | Fête du Travail | de | Tag der Arbeit
FR | Fête de la Victoire | en | Victory in Europe Day
FR | Fête de la Victoire | pt | Dia da Vitória
FR | Fête de la Victoire | es | Día de la Victoria
FR | Fête de la Victoire | de | Tag des Sieges
FR | Ascension | en | Ascension Day
FR | Ascension | pt | Ascensão
FR | Ascension | es | Ascensión
FR | Ascension | de | Christi Himmelfahrt
FR | Lundi de Pentecôte | en | Whit Monday
FR | Lundi de Pentecôte | pt | Segunda-feira de Pentecostes
FR | Lundi de Pentecôte | es | Lunes de Pentecostés
FR | Lundi de Pentecôte | de | Pfingstmontag
FR | Fête nationale | en | Bastille Day
FR | Fête nationale | pt | Dia da Bastilha
FR | Fête nationale | es | Día de la Bastilla
FR | Fête nationale | de | Nationalfeiertag
FR | Assomption | en | Assumption of Mary
FR | Assomption | pt | Assunção de Nossa Senhora
FR | Assomption | es | Asunción de la Virgen
FR | Assomption | de | Mariä Himmelfahrt
FR | Toussaint | en | All Saints' Day
FR | Toussaint | pt | Dia de Todos os Santos
FR | Toussaint | es | Todos los Santos
FR | Toussaint | de | Allerheiligen
FR | Armistice 1918 | en | Armistice Day
FR | Armistice 1918 | pt | Dia do Armistício
FR | Armistice 1918 | es | Día del Armisticio
FR | Armistice 1918 | de | Waffenstillstandstag
FR | Noël | en | Christmas Day
FR | Noël | pt | Natal
FR | Noël | es | Navidad
FR | Noël | de | Weihnachten
FR | Vendredi saint | en | Good Friday
FR | Vendredi saint | pt | Sexta-feira Santa
FR | Vendredi saint | es | Viernes Santo
FR | Vendredi saint | de | Karfreitag
FR | Saint Étienne | en | St Stephen's Day
FR | Saint Étienne | pt | Dia de Santo Estêvão
FR | Saint Étienne | es | San Esteban
FR | Saint Étienne | de | Stephanstag
FR | Mi-Carême | en | Mid-Lent
FR | Abolition de l'esclavage | en | Abolition of Slavery Day
FR | Fête de Victor Schoelcher | en | Victor Schoelcher Day
FR | Fête de la Citoyenneté | en | Citizenship Day
FR | Arrivée de l'Évangile | en | Missionary Day
FR | Fête de l'autonomie | en | Internal Autonomy Day
FR | Matāri'i | en | Matāri'i Festival
FR | Saint Pierre Chanel | en | Feast of Saint Peter Chanel
FR | Saints Pierre et Paul | en | Saints Peter and Paul's Day
FR | Fête du Territoire | en | Territory Day
# ===== BR =====
BR | Carnaval | en | Carnival
BR | Carnaval | es | Carnaval
BR | Carnaval | de | Karneval
BR | Carnaval | fr | Carnaval
BR | Início da Quaresma | en | Ash Wednesday
BR | Início da Quaresma | es | Miércoles de Ceniza
BR | Início da Quaresma | de | Aschermittwoch
BR | Início da Quaresma | fr | Mercredi des Cendres
BR | Corpus Christi | en | Corpus Christi
BR | Corpus Christi | es | Corpus Christi
BR | Corpus Christi | de | Fronleichnam
BR | Corpus Christi | fr | Fête-Dieu
BR | Dia do Servidor Público | en | Public Servant's Day
BR | Dia do Servidor Público | es | Día del Servidor Público
BR | Dia do Servidor Público | de | Tag des öffentlichen Bediensteten
BR | Dia do Servidor Público | fr | Journée du fonctionnaire
BR | Véspera de Natal | en | Christmas Eve
BR | Véspera de Natal | es | Nochebuena
BR | Véspera de Natal | de | Heiligabend
BR | Véspera de Natal | fr | Veille de Noël
BR | Véspera de Ano-Novo | en | New Year's Eve
BR | Véspera de Ano-Novo | es | Nochevieja
BR | Véspera de Ano-Novo | de | Silvester
BR | Véspera de Ano-Novo | fr | Veille du Nouvel An
BR | Confraternização Universal | en | New Year's Day
BR | Confraternização Universal | es | Año Nuevo
BR | Confraternização Universal | de | Neujahr
BR | Confraternização Universal | fr | Jour de l'an
BR | Sexta-feira Santa | en | Good Friday
BR | Sexta-feira Santa | es | Viernes Santo
BR | Sexta-feira Santa | de | Karfreitag
BR | Sexta-feira Santa | fr | Vendredi saint
BR | Tiradentes | en | Tiradentes Day
BR | Tiradentes | es | Día de Tiradentes
BR | Tiradentes | de | Tiradentes-Tag
BR | Tiradentes | fr | Jour de Tiradentes
BR | Dia do Trabalhador | en | Labour Day
BR | Dia do Trabalhador | es | Día del Trabajo
BR | Dia do Trabalhador | de | Tag der Arbeit
BR | Dia do Trabalhador | fr | Fête du Travail
BR | Independência do Brasil | en | Independence of Brazil
BR | Independência do Brasil | es | Independencia de Brasil
BR | Independência do Brasil | de | Unabhängigkeit Brasiliens
BR | Independência do Brasil | fr | Indépendance du Brésil
BR | Nossa Senhora Aparecida | en | Our Lady of Aparecida
BR | Nossa Senhora Aparecida | es | Nuestra Señora Aparecida
BR | Nossa Senhora Aparecida | de | Unsere Liebe Frau von Aparecida
BR | Nossa Senhora Aparecida | fr | Notre-Dame d'Aparecida
BR | Finados | en | All Souls' Day
BR | Finados | es | Día de los Difuntos
BR | Finados | de | Allerseelen
BR | Finados | fr | Jour des morts
BR | Proclamação da República | en | Proclamation of the Republic
BR | Proclamação da República | es | Proclamación de la República
BR | Proclamação da República | de | Ausrufung der Republik
BR | Proclamação da República | fr | Proclamation de la République
BR | Dia Nacional de Zumbi e da Consciência Negra | en | National Day of Zumbi and Black Awareness
BR | Dia Nacional de Zumbi e da Consciência Negra | es | Día Nacional de Zumbi y de la Conciencia Negra
BR | Dia Nacional de Zumbi e da Consciência Negra | de | Nationaler Tag des Zumbi und des schwarzen Bewusstseins
BR | Dia Nacional de Zumbi e da Consciência Negra | fr | Journée nationale de Zumbi et de la conscience noire
BR | Natal | en | Christmas Day
BR | Natal | es | Navidad
BR | Natal | de | Weihnachten
BR | Natal | fr | Noël
BR | Carnaval | en | Carnival
BR | Carnaval | es | Carnaval
BR | Carnaval | de | Karneval
BR | Carnaval | fr | Carnaval
BR | Corpus Christi | en | Corpus Christi
BR | Corpus Christi | es | Corpus Christi
BR | Corpus Christi | de | Fronleichnam
BR | Corpus Christi | fr | Fête-Dieu
BR | Revolução Constitucionalista | en | Constitutionalist Revolution
BR | Revolução Constitucionalista | es | Revolución Constitucionalista
BR | Revolução Constitucionalista | de | Verfassungsrevolution
BR | Revolução Constitucionalista | fr | Révolution constitutionnaliste
BR | São Jorge | en | St George's Day
BR | São Jorge | es | San Jorge
BR | São Jorge | de | St.-Georgs-Tag
BR | São Jorge | fr | Saint-Georges
# ===== ES =====
ES | Año Nuevo | en | New Year's Day
ES | Año Nuevo | pt | Ano Novo
ES | Año Nuevo | de | Neujahr
ES | Año Nuevo | fr | Jour de l'an
ES | Epifanía del Señor | en | Epiphany
ES | Epifanía del Señor | pt | Epifania do Senhor
ES | Epifanía del Señor | de | Erscheinung des Herrn
ES | Epifanía del Señor | fr | Épiphanie
ES | Viernes Santo | en | Good Friday
ES | Viernes Santo | pt | Sexta-feira Santa
ES | Viernes Santo | de | Karfreitag
ES | Viernes Santo | fr | Vendredi saint
ES | Fiesta del Trabajo | en | Labour Day
ES | Fiesta del Trabajo | pt | Dia do Trabalhador
ES | Fiesta del Trabajo | de | Tag der Arbeit
ES | Fiesta del Trabajo | fr | Fête du Travail
ES | Asunción de la Virgen | en | Assumption of Mary
ES | Asunción de la Virgen | pt | Assunção de Nossa Senhora
ES | Asunción de la Virgen | de | Mariä Himmelfahrt
ES | Asunción de la Virgen | fr | Assomption
