# civil-holidays-well-known v1
# source: spoken-aliases
# retrieved: 2026-07-22
# note:
#   CURATED SPOKEN ALIASES for the globally well-known holiday set (see
#   chronologia.civil_holidays.WELL_KNOWN). Each row lists the colloquial names
#   a person actually SAYS for a holiday in one language - the surfaces the
#   `holiday_ref` extraction construction binds ("christmas", "when is easter",
#   "next christmas"). These are spoken forms kept as data, deliberately
#   distinct from the official native names (in the per-jurisdiction .tab files)
#   and the display translations (translations.tab). The engine harvests these
#   at LangSpec-load time, unioned with the anchor holiday's translation and its
#   own official native name, and folds them through the same normaliser the
#   matcher uses. Surfaces carry their real orthography (accents included), and
#   colloquial/short forms (xmas, Weihnachten) live here.
# columns: key | lang | surface ;; surface ;; ...
#
# ===== English =====
new_year        | en | new year's day ;; new years day
christmas_eve   | hu | szenteste ;; karácsony este
christmas       | hu | karácsony ;; karácsony napja
boxing_day      | hu | karácsony másnapja
eid_al_fitr     | hu | id al-fitr ;; ramadán vége
ramadan         | hu | ramadán
rosh_hashanah   | hu | zsidó újév
yom_kippur      | hu | jom kippur
passover        | hu | pészah
hanukkah        | hu | hanuka
chinese_new_year| hu | kínai újév
nowruz          | hu | novruz
diwali          | hu | diváli
vesak           | hu | vészák
halloween       | hu | halloween
valentines      | hu | valentin-nap ;; bálint-nap
#
# ===== Turkish =====
new_year        | tr | yılbaşı ;; yeni yıl
epiphany        | tr | epifani
good_friday     | tr | kutsal cuma
easter          | tr | paskalya
ascension       | tr | göğe yükseliş
pentecost       | tr | pentikost
christmas_eve   | tr | noel arifesi
christmas       | tr | noel
eid_al_fitr     | tr | ramazan bayramı ;; şeker bayramı
eid_al_adha     | tr | kurban bayramı
ramadan         | tr | ramazan
islamic_new_year| tr | hicri yılbaşı
ashura          | tr | aşure günü
mawlid          | tr | mevlid kandili ;; mevlit
rosh_hashanah   | tr | yahudi yeni yılı
yom_kippur      | tr | yom kippur
passover        | tr | hamursuz bayramı
hanukkah        | tr | hanuka
chinese_new_year| tr | çin yeni yılı
nowruz          | tr | nevruz
diwali          | tr | divali
vesak           | tr | vesak
halloween       | tr | cadılar bayramı
valentines      | tr | sevgililer günü
#
# ===== Azerbaijani =====
new_year        | az | yeni il
christmas       | az | milad
easter          | az | pasxa
eid_al_fitr     | az | ramazan bayramı ;; orucluq bayramı
eid_al_adha     | az | qurban bayramı
ramadan         | az | ramazan
islamic_new_year| az | hicri yeni il
ashura          | az | aşura
mawlid          | az | mövlud
nowruz          | az | novruz ;; novruz bayramı
chinese_new_year| az | çin yeni ili
diwali          | az | divali
vesak           | az | vesak
halloween       | az | hellowin
valentines      | az | sevgililər günü
womens_day      | az | qadınlar günü ;; beynəlxalq qadınlar günü
azerbaijan_republic_day  | az | respublika günü
azerbaijan_independence_day | az | müstəqillik günü ;; müstəqilliyin bərpası günü
azerbaijan_flag_day      | az | bayraq günü ;; dövlət bayrağı günü
rosh_hashanah   | az | yəhudi yeni ili
yom_kippur      | az | yom kippur
hanukkah        | az | hanuka
#
# ===== Greek =====
new_year               | el | πρωτοχρονιά ;; πρώτη του χρόνου
epiphany               | el | θεοφάνεια ;; φώτα
orthodox_good_friday   | el | μεγάλη παρασκευή
orthodox_easter        | el | πάσχα ;; κυριακή του πάσχα
orthodox_easter_monday | el | δευτέρα του πάσχα ;; δευτέρα της διακαινησίμου
assumption             | el | κοίμηση της θεοτόκου ;; δεκαπενταύγουστος
christmas_eve          | el | παραμονή χριστουγέννων
christmas              | el | χριστούγεννα
eid_al_fitr            | el | εΐντ αλ φιτρ
ramadan                | el | ραμαζάνι
rosh_hashanah          | el | εβραϊκή πρωτοχρονιά
yom_kippur             | el | γιομ κιπούρ
passover               | el | πέσαχ
hanukkah               | el | χανουκά
chinese_new_year       | el | κινέζικη πρωτοχρονιά
nowruz                 | el | νορούζ
diwali                 | el | ντιβάλι
vesak                  | el | βεσάκ
halloween              | el | χαλοουίν
valentines             | el | αγίου βαλεντίνου ;; ημέρα των ερωτευμένων
#
# ===== Indonesian =====
new_year        | id | tahun baru
palm_sunday     | id | minggu palma
good_friday     | id | jumat agung
easter          | id | paskah
christmas       | id | natal ;; hari natal
labour_day      | id | hari buruh
indonesia_independence_day | id | hari kemerdekaan
eid_al_fitr     | id | idul fitri ;; lebaran ;; hari raya idul fitri
eid_al_adha     | id | idul adha ;; iduladha
ramadan         | id | ramadan ;; ramadhan ;; bulan puasa
islamic_new_year| id | tahun baru islam ;; tahun baru hijriah
mawlid          | id | maulid nabi
chinese_new_year| id | tahun baru imlek ;; imlek
vesak           | id | waisak ;; hari waisak
diwali          | id | deepavali ;; diwali
halloween       | id | halloween
valentines      | id | hari valentine
#
# ===== Malay =====
new_year        | ms | tahun baru
palm_sunday     | ms | ahad palma
good_friday     | ms | jumaat agung
easter          | ms | paskah
christmas       | ms | krismas ;; hari krismas
eid_al_fitr     | ms | hari raya aidilfitri ;; aidilfitri ;; hari raya puasa
eid_al_adha     | ms | hari raya aidiladha ;; aidiladha ;; hari raya haji
ramadan         | ms | ramadan ;; bulan puasa
islamic_new_year| ms | maal hijrah ;; awal muharram
mawlid          | ms | maulidur rasul
chinese_new_year| ms | tahun baru cina
vesak           | ms | hari wesak ;; wesak
diwali          | ms | deepavali
halloween       | ms | halloween
valentines      | ms | hari valentine
#
# ===== Basque =====
new_year        | eu | urte berri ;; urteberri
epiphany        | eu | erregen eguna ;; errege eguna
palm_sunday     | eu | erramu igandea
good_friday     | eu | ostiral santua
easter          | eu | pazkoa ;; pazko igandea
easter_monday   | eu | pazko astelehena
ascension       | eu | igokundea
assumption      | eu | andre maria ;; abuztuaren hamabosta
all_saints      | eu | domu santu ;; santu guztien eguna
christmas_eve   | eu | gabon gaua
christmas       | eu | gabonak ;; eguberri
eid_al_fitr     | eu | id al-fitr
ramadan         | eu | ramadana
chinese_new_year| eu | txinako urte berria
nowruz          | eu | nowruz
diwali          | eu | diwali
vesak           | eu | vesak
halloween       | eu | halloween ;; gau beltza
valentines      | eu | san valentin ;; maitasunaren eguna
#
# ===== Kabyle =====
new_year        | kab | aseggas amaynut
eid_al_fitr     | kab | lɛid ameẓyan
eid_al_adha     | kab | lɛid ameqqran
ramadan         | kab | remṭan
islamic_new_year| kab | aseggas ahiǧri
# ===== Bulgarian =====
new_year           | bg | нова година
new_year_eve       | bg | навечерие на нова година
orthodox_easter    | bg | великден ;; възкресение
orthodox_good_friday | bg | разпети петък ;; велики петък
orthodox_easter_monday | bg | велики понеделник
christmas | bg | коледа ;; рождество христово ;; рождество
christmas_eve | bg | бъдни вечер
labour_day             | bg | ден на труда ;; ден на труда и на международната работническа солидарност
bulgaria_liberation_day   | bg | ден на освобождението ;; ден на освобождението на българия от османско иго
bulgaria_st_georges_day   | bg | гергьовден ;; ден на храбростта и българската армия
bulgaria_education_day    | bg | ден на българската просвета ;; ден на светите братя кирил и методий ;; ден на славянската писменост
bulgaria_unification_day  | bg | съединение ;; ден на съединението
bulgaria_independence_day | bg | ден на независимостта ;; ден на независимостта на българия
halloween          | bg | хелоуин
valentines         | bg | свети валентин ;; ден на влюбените
chinese_new_year   | bg | китайска нова година
ramadan            | bg | рамазан ;; рамадан
hanukkah           | bg | ханука
passover           | bg | песах
nowruz             | bg | навруз
#
# ===== Czech =====
new_year           | cs | nový rok
christmas          | cs | vánoce ;; boží hod vánoční
christmas_eve      | cs | štědrý den ;; štědrý večer
epiphany           | cs | tři králové
easter             | cs | velikonoce ;; velikonoční neděle
palm_sunday     | cs | květná neděle
good_friday        | cs | velký pátek
easter_monday      | cs | velikonoční pondělí
all_saints         | cs | všech svatých ;; dušičky
halloween          | cs | halloween
valentines         | cs | valentýn ;; svatý valentýn
carnival           | cs | masopust
chinese_new_year   | cs | čínský nový rok
#
# ===== Croatian =====
new_year           | hr | nova godina ;; nove godine
christmas          | hr | božić ;; božića
christmas_eve      | hr | badnjak ;; badnji dan
epiphany           | hr | sveta tri kralja ;; bogojavljenje
easter             | hr | uskrs ;; uskrsna nedjelja ;; uskrsa
palm_sunday     | hr | cvjetnica
good_friday        | hr | veliki petak
easter_monday      | hr | uskrsni ponedjeljak ;; uskršnji ponedjeljak
all_saints         | hr | svi sveti
boxing_day         | hr | sveti stjepan ;; sv. stjepan
labour_day         | hr | praznik rada
assumption         | hr | velika gospa
croatia_statehood_day    | hr | dan državnosti
croatia_antifascist_day  | hr | dan antifašističke borbe
croatia_victory_day      | hr | dan pobjede ;; dan pobjede i domovinske zahvalnosti ;; dan pobjede i domovinske zahvalnosti i dan hrvatskih branitelja
halloween          | hr | noć vještica ;; halloween
valentines         | hr | valentinovo
carnival           | hr | karneval ;; poklade
chinese_new_year   | hr | kineska nova godina
#
# ===== Polish =====
new_year           | pl | nowy rok
christmas          | pl | boże narodzenie ;; gwiazdka
christmas_eve      | pl | wigilia
epiphany           | pl | trzech króli ;; objawienie pańskie
easter             | pl | wielkanoc ;; niedziela wielkanocna
ash_wednesday      | pl | środa popielcowa
palm_sunday     | pl | niedziela palmowa
good_friday        | pl | wielki piątek
easter_monday      | pl | poniedziałek wielkanocny ;; lany poniedziałek
corpus_christi     | pl | boże ciało ;; uroczystość najświętszego ciała i krwi chrystusa
boxing_day         | pl | drugi dzień świąt bożego narodzenia ;; drugi dzień bożego narodzenia ;; drugi dzień świąt ;; drugie święto bożego narodzenia ;; święty szczepan
all_saints         | pl | wszystkich świętych
halloween          | pl | halloween
valentines         | pl | walentynki
carnival           | pl | karnawał ;; ostatki
chinese_new_year   | pl | chiński nowy rok
#
# ===== Russian =====
new_year           | ru | новый год
new_year_eve       | ru | канун нового года
orthodox_easter    | ru | пасха ;; светлое христово воскресение
orthodox_good_friday | ru | страстная пятница ;; великая пятница
orthodox_easter_monday | ru | светлый понедельник
orthodox_christmas | ru | рождество христово ;; рождество
orthodox_christmas_eve | ru | рождественский сочельник ;; сочельник
halloween          | ru | хэллоуин ;; хеллоуин
valentines         | ru | день святого валентина ;; день влюблённых
chinese_new_year   | ru | китайский новый год
ramadan            | ru | рамадан
hanukkah           | ru | ханука
passover           | ru | песах
nowruz             | ru | навруз ;; новруз
#
# ===== Slovak =====
new_year           | sk | nový rok
christmas          | sk | vianoce
christmas_eve      | sk | štedrý deň ;; štedrý večer
epiphany           | sk | traja králi ;; zjavenie pána
easter             | sk | veľká noc ;; veľkonočná nedeľa
palm_sunday     | sk | kvetná nedeľa
good_friday        | sk | veľký piatok
easter_monday      | sk | veľkonočný pondelok
all_saints         | sk | sviatok všetkých svätých ;; všetkých svätých
halloween          | sk | halloween
valentines         | sk | valentín ;; svätý valentín
carnival           | sk | fašiangy
chinese_new_year   | sk | čínsky nový rok
#
# ===== Slovenian =====
new_year           | sl | novo leto ;; novega leta
christmas          | sl | božič ;; božiča
christmas_eve      | sl | sveti večer ;; badnjak
epiphany           | sl | sveti trije kralji
easter             | sl | velika noč ;; velikonočna nedelja ;; velike noči
palm_sunday     | sl | cvetna nedelja
good_friday        | sl | veliki petek
easter_monday      | sl | velikonočni ponedeljek
all_saints         | sl | dan spomina na mrtve ;; vsi sveti
labour_day         | sl | praznik dela
assumption         | sl | marijino vnebovzetje ;; veliki šmaren
slovenia_culture_day | sl | prešernov dan ;; slovenski kulturni praznik
slovenia_uprising_day | sl | dan upora proti okupatorju
slovenia_statehood_day | sl | dan državnosti
reformation_day    | sl | dan reformacije
slovenia_independence_unity_day | sl | dan samostojnosti in enotnosti ;; dan samostojnosti
halloween          | sl | noč čarovnic
valentines         | sl | valentinovo
carnival           | sl | pust
chinese_new_year   | sl | kitajsko novo leto
#
# ===== Ukrainian =====
new_year           | uk | новий рік
new_year_eve       | uk | переддень нового року
orthodox_easter    | uk | великдень ;; пасха
orthodox_good_friday | uk | страсна п'ятниця ;; велика п'ятниця
orthodox_easter_monday | uk | світлий понеділок
christmas_ua | uk | різдво ;; різдво христове
christmas_eve_ua | uk | святвечір
halloween          | uk | гелловін ;; хелоуїн
valentines         | uk | день святого валентина ;; день закоханих
chinese_new_year   | uk | китайський новий рік
ramadan            | uk | рамадан
hanukkah           | uk | ханука
passover           | uk | песах
nowruz             | uk | новруз
# ===== Persian / Farsi (native script) =====
nowruz             | fa | نوروز ;; عید نوروز
eid_al_fitr        | fa | عید فطر
eid_al_adha        | fa | عید قربان
ramadan            | fa | ماه رمضان ;; رمضان
ashura             | fa | عاشورا
christmas          | fa | کریسمس
islamic_new_year   | fa | سال نو هجری
chinese_new_year   | fa | سال نو چینی
#
# ==========================================================================
# NATIONAL / CIVIL fixed-date holidays (es / fr / it / pt / en). Spoken
# surfaces for the WELL_KNOWN national/civil entries. Multi-word names bind as
# one holiday and win longest-match over the bare month/"day"/weekday tokens
# they embed. NOTE en "labour_day" carries ONLY "may day" / "international
# workers' day": the U.S. "Labor Day" is the 1st Monday of September, a
# different rule, so it is deliberately NOT offered as a 1-May surface.
# ==========================================================================
#
# ===== Spanish =====
labour_day               | es | día del trabajador ;; día del trabajo ;; primero de mayo
immaculate_conception    | es | inmaculada concepción ;; la inmaculada ;; día de la inmaculada
hispanic_day             | es | fiesta nacional ;; día de la hispanidad ;; fiesta nacional de españa
spain_constitution_day   | es | día de la constitución ;; día de la constitución española
#
# ===== French =====
labour_day               | fr | fête du travail ;; premier mai
bastille_day             | fr | fête nationale ;; quatorze juillet ;; le quatorze juillet
armistice                | fr | armistice ;; jour de l'armistice ;; le onze novembre
ve_day                   | fr | victoire 1945 ;; fête de la victoire ;; le huit mai
#
# ===== Italian =====
labour_day               | it | festa del lavoro ;; primo maggio
immaculate_conception    | it | immacolata ;; immacolata concezione
italy_liberation_day     | it | festa della liberazione ;; anniversario della liberazione
italy_republic_day       | it | festa della repubblica
#
# ===== Portuguese =====
labour_day               | pt | dia do trabalhador ;; dia do trabalho ;; primeiro de maio
immaculate_conception    | pt | imaculada conceição ;; nossa senhora da conceição
portugal_freedom_day     | pt | dia da liberdade ;; vinte e cinco de abril
portugal_day             | pt | dia de portugal ;; dia de camões
portugal_republic_day    | pt | implantação da república ;; dia da república
portugal_restoration_day | pt | restauração da independência ;; dia da restauração
#
# ===== English =====
labour_day               | en | may day ;; international workers' day
armistice                | en | armistice ;; armistice day ;; remembrance day
juneteenth               | en | juneteenth
cinco_de_mayo            | en | cinco de mayo
groundhog_day            | en | groundhog day ;; groundhog's day
earth_day                | en | earth day
all_souls                | en | all souls' day ;; all souls day
april_fools              | en | april fools' day ;; april fools day ;; april fool's day
#
# ===== National / civil holidays, round 2 (pl uk cs ru nl de sv tr fi hu da nb el ro) =====
# Spoken surfaces (incl. the inflected forms native reviewers cited) for the
# fixed-date national/civil holidays added in the round-2 sweep. Holidays that
# share a cross-border key gain only a per-locale surface here (labour_day =
# 1 May; assumption = 15 Aug; ve_day = 8 May; new_year = 1 Jan).
#
# --- Polish ---
labour_day               | pl | święto pracy
assumption               | pl | wniebowzięcie ;; wniebowzięcie najświętszej maryi panny
poland_constitution_day  | pl | konstytucji 3 maja ;; święto konstytucji 3 maja
poland_independence_day  | pl | święto niepodległości ;; narodowe święto niepodległości ;; dzień niepodległości
#
# --- Ukrainian ---
labour_day               | uk | день праці ;; міжнародний день праці
ukraine_independence_day | uk | день незалежності ;; день незалежності україни
ukraine_constitution_day | uk | день конституції ;; день конституції україни
ukraine_defenders_day    | uk | день захисника ;; день захисників ;; день захисників і захисниць
womens_day               | uk | міжнародний жіночий день ;; жіночий день
victory_day_east         | uk | день перемоги
#
# --- Czech ---
labour_day               | cs | svátek práce
ve_day                   | cs | den vítězství
cyril_methodius_day      | cs | cyril a metoděj ;; svatý cyril a metoděj ;; den slovanských věrozvěstů
jan_hus_day              | cs | jan hus ;; den upálení mistra jana husa
czech_statehood_day      | cs | den české státnosti ;; svatý václav
czechoslovak_state_day   | cs | vznik čsr ;; vznik československa ;; den vzniku samostatného československého státu
czech_freedom_day        | cs | boj za svobodu ;; den boje za svobodu a demokracii
#
# --- Russian ---
womens_day               | ru | международный женский день ;; женский день
victory_day_east         | ru | день победы
russia_day               | ru | день россии
defender_of_fatherland_day | ru | день защитника отечества ;; день защитника
russia_unity_day         | ru | день народного единства
#
# --- Dutch ---
netherlands_kings_day    | nl | koningsdag ;; koninginnedag
netherlands_liberation_day | nl | bevrijdingsdag
sinterklaas              | nl | sinterklaas ;; pakjesavond
#
# --- German ---
labour_day               | de | tag der arbeit
german_unity_day         | de | tag der deutschen einheit ;; tag der einheit
nikolaus                 | de | nikolaus ;; nikolaustag ;; sankt nikolaus
#
# --- Swedish ---
sweden_national_day      | sv | sveriges nationaldag ;; nationaldagen ;; svenska flaggans dag
#
# --- Turkish ---
turkey_republic_day      | tr | cumhuriyet bayramı
turkey_victory_day       | tr | zafer bayramı
turkey_sovereignty_day   | tr | ulusal egemenlik ve çocuk bayramı ;; ulusal egemenlik bayramı ;; çocuk bayramı
turkey_youth_day         | tr | atatürk'ü anma gençlik ve spor bayramı ;; gençlik ve spor bayramı
turkey_democracy_day     | tr | demokrasi ve millî birlik günü ;; demokrasi günü
#
# --- Finnish ---
labour_day               | fi | vappu
finland_independence_day | fi | itsenäisyyspäivä
#
# --- Hungarian ---
labour_day               | hu | a munka ünnepe ;; munka ünnepe
hungary_1848_day         | hu | nemzeti ünnep ;; 1848-as forradalom ;; az 1848-as forradalom emléknapja
hungary_state_foundation_day | hu | államalapítás ünnepe ;; az államalapítás ünnepe ;; szent istván ünnepe
hungary_1956_day         | hu | 1956-os forradalom ;; az 1956-os forradalom emléknapja
#
# --- Danish ---
denmark_constitution_day | da | grundlovsdag
#
# --- Norwegian (Bokmål) ---
labour_day               | nb | arbeidernes dag
norway_constitution_day  | nb | grunnlovsdag ;; syttende mai ;; nasjonaldagen
#
# --- Greek ---
labour_day               | el | πρωτομαγιά ;; εργατική πρωτομαγιά
greece_independence_day  | el | 25η μαρτίου ;; εικοστή πέμπτη μαρτίου ;; ευαγγελισμός της θεοτόκου
greece_ohi_day           | el | 28η οκτωβρίου ;; επέτειος του όχι ;; ημέρα του όχι ;; του όχι
#
# --- Romanian ---
new_year                 | ro | anul nou
christmas                | ro | crăciun ;; ziua de crăciun
boxing_day               | ro | a doua zi de crăciun
orthodox_easter          | ro | paște ;; paști ;; sfintele paști ;; duminica paștelui
orthodox_good_friday     | ro | vinerea mare ;; sfânta vineri
labour_day               | ro | ziua muncii
assumption               | ro | adormirea maicii domnului ;; sfânta maria mare
romania_childrens_day    | ro | ziua copilului ;; ziua internațională a copilului
romania_national_day     | ro | ziua națională ;; ziua națională a româniei ;; ziua marii uniri
romania_union_day        | ro | unirea principatelor ;; ziua unirii principatelor române ;; mica unire
